Black King,White King
181,902
158,2234
114,3356
127,1981
138,7457
115,3797
140,18149
131,7105
227,685
154,768
161,1084
134,1661
148,2194
139,2151
133,3012
204,3649
318,591
198,662
228,768
235,1131
241,1357
224,1561
246,1581
354,1775
454,503
312,365
374,443
332,543
405,663
487,757
513,794
649,1029
566,364
445,277
571,318
586,357
732,411
861,411
813,477
1066,632
690,261
766,177
1105,197
1279,225
1427,198
1644,222
1577,245
1868,350
728,189
907,143
1378,126
2178,122
2769,143
2553,136
3586,113
3573,176
1032,163
2236,126
3704,136
2687,128
10502,144
4151,113
18853,157
6788,194
